I_TRIP_ID,S_LORRY_RECPT_NO,S_VEHICLE_ID,S_PRODUCT_ID,DT_DEP_DATETIME,DT_BOOK_DATETIME,S_CONSIGNOR_ID,S_CONSIGNOR_NAME,S_TRANSPORTER_ID,S_TRANSPORTER_NAME,C_TRIP_CLOSE_REASON,C_IS_DELETED,I_ORIGIN_LOC_CODE,S_GOODS_DESC,I_QTY,S_UOM_CODE,S_DESTINATION_LOC_NAME,DT_EXP_ARR_DATETIME,S_CONSIGNEE_ID,S_CONSIGNEE_NAME,S_CONSIGNEE_CITY,C_STATUS,S_ORIGIN_LOC_NAME,S_SUPP_PRODUCT_ID,DT_CREATED,S_INVOICE,DT_ATA,DT_OFFLOAD,DT_ATA_OUT 
761992,-,HR38R3645,346783,01-Jan-2013 17:18:00,,224,TATA STEEL-DELHI,215,YADAV GOODS CARRIER,S,N,,-,0,-,TUGHLAKABAD,01-Jan-2013 00:00:00,-,FARIDABAD - CA,,O,DELHI,1230040000000035448,05-Jan-2013 16:11:54,,,20-Feb-2013 04:12:34, 
762001,-,HR38N3615,346894,01-Jan-2013 17:17:00,,224,TATA STEEL-DELHI,215,YADAV GOODS CARRIER,S,N,,-,0,-,TUGHLAKABAD,04-Jan-2013 00:00:00,-,GHAZIABAD - CA,,O,DELHI,1230040000000035570,05-Jan-2013 16:12:25,,02-Jan-2013 05:08:00,20-Feb-2013 04:10:41, 
762008,-,MH32Q1700,127635,01-Jan-2013 20:27:00,,113,TATA STEEL-NAGPUR,217,BARELIYA,T,N,,-,0,-,KALAMNA,01-Jan-2013 00:00:00,-,SKM STEELS LTD. (CR CA DIVISION),,O,NAGPUR,1230040000003099174,05-Jan-2013 16:12:50,,,05-Jan-2013 16:49:04, 
762009,-,HR641998,323051,01-Jan-2013 15:35:00,,224,TATA STEEL-DELHI,215,YADAV GOODS CARRIER,S,N,,-,0,-,TUGHLAKABAD,01-Jan-2013 00:00:00,-,FARIDABAD - CA,,O,DELHI,1230040000000021299,05-Jan-2013 16:12:53,,,20-Feb-2013 04:17:17, 
762034,-,MH40N1800,175787,01-Jan-2013 14:10:00,,113,TATA STEEL-NAGPUR,217,BARELIYA,S,N,,-,0,-,SILVASSA,08-Jan-2013 00:00:00,259,BALMER LAWRIE & CO. LTD.,,O,NAGPUR,1230040000003096234,05-Jan-2013 16:14:26,,,20-Feb-2013 02:40:35, 
759462,,NL01G4881,,01-Jan-2013 20:05:00,,,HCIL,396,HIMADRI_CHEMICALS,,,,,,,Renukoot,03-Jan-2013 10:10:00,,Hindalco Industries Ltd,,,HCIL / Mahistikry,,03-Jan-2013 13:37:28,,03-Jan-2013 09:10:00,, 
760182,0009210733,CG13L3088,,01-Jan-2013 12:03:00,,,Jindal Steel & Power,457,ASHOK-RAIGARH,A,,,MLSM,,,RAIPUR,01-Jan-2013 00:00:00,,KALPATARU POWER TRANSMISSION LTD,,,JSPL GATE-RAIGARH,B96C0A22,04-Jan-2013 11:09:02,1421208808,,09-Jan-2013 00:00:33, 
758352, ,MH04EY2359,,01-Jan-2013 18:15:00,,,DERADUN - BOC INDIA LIMITED-DEHRADUN PLANT,320,BOC_DEHRADUN-KAILASH,S,,,,,,BHIWADI,04-Jan-2013 00:00:00,,BOC INDIA LIMITEDA_C BHIWADI,,,DERADUN - BOC INDIA LIMITED-D,,01-Jan-2013 23:35:20,,03-Jan-2013 22:43:00,03-Jan-2013 23:00:11, 
758378, ,MH04EY2579,,01-Jan-2013 16:05:00,,,DERADUN - BOC INDIA LIMITED-DEHRADUN PLANT,320,BOC_DEHRADUN-KAILASH,P,,,,,,DERABASSI,04-Jan-2013 00:00:00,,PARABOLIC DRUGS LTD.,,,DERADUN - BOC INDIA LIMITED-D,,01-Jan-2013 23:35:29,,,01-Jan-2013 23:35:29, 
758377, ,MH04EY2579,,01-Jan-2013 16:05:00,,,DERADUN - BOC INDIA LIMITED-DEHRADUN PLANT,320,BOC_DEHRADUN-KAILASH,P,,,,,,MOHALI,04-Jan-2013 00:00:00,,METLONICS INDUSTRIES PVT LTD (UNIT-II),,,DERADUN - BOC INDIA LIMITED-D,,01-Jan-2013 23:35:29,,,07-Jan-2013 16:35:37, 
