807518,01-Mar-2013 16:48:00,22.88422,86.15095,13651.394
807518,01-Mar-2013 16:54:00,22.89034,86.11878,13654.766
807518,01-Mar-2013 17:01:00,22.91193,86.09366,13658.41
807518,01-Mar-2013 17:06:00,22.92097,86.08905,13659.53
807518,01-Mar-2013 17:08:00,22.92095,86.08905,13659.53
807518,01-Mar-2013 17:09:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:10:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:11:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:12:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:13:00,22.92096,86.08905,13659.53
807518,01-Mar-2013 17:14:00,22.92097,86.08906,13659.53
807518,01-Mar-2013 17:15:00,22.92097,86.08906,13659.53
807518,01-Mar-2013 17:16:00,22.92097,86.08906,13659.53
807518,01-Mar-2013 17:17:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:18:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:19:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:20:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:21:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:22:00,22.92096,86.08905,13659.53
807518,01-Mar-2013 17:23:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:24:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:25:00,22.92096,86.08907,13659.53
807518,01-Mar-2013 17:26:00,22.92096,86.08908,13659.53
807518,01-Mar-2013 17:27:00,22.92096,86.08909,13659.53
807518,01-Mar-2013 17:28:00,22.92096,86.08909,13659.53
807518,01-Mar-2013 17:29:00,22.92096,86.08908,13659.53
807518,01-Mar-2013 17:30:00,22.92096,86.08908,13659.53
807518,01-Mar-2013 17:31:00,22.92096,86.08907,13659.53
807518,01-Mar-2013 17:32:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:33:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:34:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:35:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:36:00,22.92097,86.08907,13659.53
807518,01-Mar-2013 17:37:00,22.92097,86.08907,13659.53
807518,01-Mar-2013 17:38:00,22.92097,86.08907,13659.53
807518,01-Mar-2013 17:39:00,22.92097,86.08908,13659.53
807518,01-Mar-2013 17:40:00,22.92097,86.08908,13659.53
807518,01-Mar-2013 17:41:00,22.92097,86.08907,13659.53
807518,01-Mar-2013 17:42:00,22.92097,86.08907,13659.53
807518,01-Mar-2013 17:43:00,22.92097,86.08907,13659.53
807518,01-Mar-2013 17:44:00,22.92096,86.08906,13659.53
807518,01-Mar-2013 17:45:00,22.92093,86.08904,13659.533
807518,01-Mar-2013 17:46:00,22.92094,86.08904,13659.533
807518,01-Mar-2013 17:47:00,22.92094,86.08905,13659.533
